sku,name,description,category,price,stock,rating,image_url
SKU-05008,HaloOriginals Sun-Dried Pasta,"Sun-Dried pasta from HaloOriginals. Premium quality, designed for everyday use.",Grocery,49.61,251,3.1,https://picsum.photos/seed/SKU-05008/400/400
SKU-05461,VortexStudio Pocket Mouse Pad,"Pocket mouse pad from VortexStudio. Premium quality, designed for everyday use.",Office Supplies,198.13,73,4.8,https://picsum.photos/seed/SKU-05461/400/400
SKU-09641,PulseWorks Vintage Audio Interface,"Vintage audio interface from PulseWorks. Premium quality, designed for everyday use.",Music,921.27,98,4.3,https://picsum.photos/seed/SKU-09641/400/400
SKU-06301,RidgeBrand All-Natural Carrier,"All-Natural carrier from RidgeBrand. Premium quality, designed for everyday use.",Pet Supplies,236.48,198,4.8,https://picsum.photos/seed/SKU-06301/400/400
SKU-09745,AeroEdition Pro-Grade Drum Kit,"Pro-Grade drum kit from AeroEdition. Premium quality, designed for everyday use.",Music,1657.93,45,3.5,https://picsum.photos/seed/SKU-09745/400/400
SKU-06215,VergeWorks Interactive Dog Food,"Interactive dog food from VergeWorks. Premium quality, designed for everyday use.",Pet Supplies,159.16,67,4.3,https://picsum.photos/seed/SKU-06215/400/400
SKU-09560,PulseLab Compact Pedal Board,"Compact pedal board from PulseLab. Premium quality, designed for everyday use.",Music,145.98,89,4.1,https://picsum.photos/seed/SKU-09560/400/400
SKU-01250,ForgeSupply Annotated Guide,"Annotated guide from ForgeSupply. Premium quality, designed for everyday use.",Books,34.28,171,3.0,https://picsum.photos/seed/SKU-01250/400/400
SKU-08321,EliteCo Ratcheting Saw Blade,"Ratcheting saw blade from EliteCo. Premium quality, designed for everyday use.",Tools & Hardware,277.21,117,4.0,https://picsum.photos/seed/SKU-08321/400/400
SKU-08782,NovaLab Ergonomic Garden Trowel,"Ergonomic garden trowel from NovaLab. Premium quality, designed for everyday use.",Garden,471.70,151,3.3,https://picsum.photos/seed/SKU-08782/400/400
SKU-08594,StellarBrand Insulated Tape Measure,"Insulated tape measure from StellarBrand. Premium quality, designed for everyday use.",Tools & Hardware,44.38,125,4.7,https://picsum.photos/seed/SKU-08594/400/400
SKU-00306,HyperCo Bluetooth Tablet,"Bluetooth tablet from HyperCo. Premium quality, designed for everyday use.",Electronics,1157.95,85,3.8,https://picsum.photos/seed/SKU-00306/400/400
SKU-01698,HaloLab Stretch Dress,"Stretch dress from HaloLab. Premium quality, designed for everyday use.",Clothing,20.78,395,3.3,https://picsum.photos/seed/SKU-01698/400/400
SKU-06825,AeroEdition Synthetic Dash Cam,"Synthetic dash cam from AeroEdition. Premium quality, designed for everyday use.",Automotive,365.75,191,3.5,https://picsum.photos/seed/SKU-06825/400/400
SKU-01395,QuillSupply Athletic Belt,"Athletic belt from QuillSupply. Premium quality, designed for everyday use.",Clothing,204.03,134,3.5,https://picsum.photos/seed/SKU-01395/400/400
SKU-06179,LoomStudio Vet-Approved Litter Box,"Vet-Approved litter box from LoomStudio. Premium quality, designed for everyday use.",Pet Supplies,176.82,111,4.4,https://picsum.photos/seed/SKU-06179/400/400
SKU-02345,VergeEdition Multi-Use Blender,"Multi-Use blender from VergeEdition. Premium quality, designed for everyday use.",Home & Kitchen,374.00,222,3.9,https://picsum.photos/seed/SKU-02345/400/400
SKU-04745,NovaEdition Sun-Dried Coffee Beans,"Sun-Dried coffee beans from NovaEdition. Premium quality, designed for everyday use.",Grocery,12.20,489,3.9,https://picsum.photos/seed/SKU-04745/400/400
SKU-09057,RidgeGoods Heirloom Lawn Mower,"Heirloom lawn mower from RidgeGoods. Premium quality, designed for everyday use.",Garden,645.42,177,4.3,https://picsum.photos/seed/SKU-09057/400/400
SKU-09357,LuminStudio Compact Audio Interface,"Compact audio interface from LuminStudio. Premium quality, designed for everyday use.",Music,2464.16,89,4.5,https://picsum.photos/seed/SKU-09357/400/400
SKU-08040,LuminWorks 20V Hammer,"20V hammer from LuminWorks. Premium quality, designed for everyday use.",Tools & Hardware,479.00,27,3.9,https://picsum.photos/seed/SKU-08040/400/400
SKU-00015,HaloGoods Rechargeable Cable,"Rechargeable cable from HaloGoods. Premium quality, designed for everyday use.",Electronics,274.90,75,4.0,https://picsum.photos/seed/SKU-00015/400/400
SKU-00528,PulseTech Wireless Charger,"Wireless charger from PulseTech. Premium quality, designed for everyday use.",Electronics,347.21,256,4.7,https://picsum.photos/seed/SKU-00528/400/400
SKU-07266,NovaOriginals All-Weather Cleaning Kit,"All-Weather cleaning kit from NovaOriginals. Premium quality, designed for everyday use.",Automotive,263.73,164,3.3,https://picsum.photos/seed/SKU-07266/400/400
SKU-01600,AeroGoods Stretch T-Shirt,"Stretch t-shirt from AeroGoods. Premium quality, designed for everyday use.",Clothing,248.50,267,5.0,https://picsum.photos/seed/SKU-01600/400/400
SKU-09265,VergeOriginals Decorative Seed Pack,"Decorative seed pack from VergeOriginals. Premium quality, designed for everyday use.",Garden,613.63,49,3.9,https://picsum.photos/seed/SKU-09265/400/400
SKU-06443,LoomGoods Interactive Aquarium Filter,"Interactive aquarium filter from LoomGoods. Premium quality, designed for everyday use.",Pet Supplies,51.09,102,4.7,https://picsum.photos/seed/SKU-06443/400/400
SKU-00436,RidgeStudio Smart Hub,"Smart hub from RidgeStudio. Premium quality, designed for everyday use.",Electronics,759.27,82,4.8,https://picsum.photos/seed/SKU-00436/400/400
SKU-08816,ForgeBrand Composite Lawn Mower,"Composite lawn mower from ForgeBrand. Premium quality, designed for everyday use.",Garden,186.84,190,4.4,https://picsum.photos/seed/SKU-08816/400/400
SKU-05602,VortexTech Recycled Notebook,"Recycled notebook from VortexTech. Premium quality, designed for everyday use.",Office Supplies,17.42,486,5.0,https://picsum.photos/seed/SKU-05602/400/400
SKU-08033,ZenithGoods Precision Drill,"Precision drill from ZenithGoods. Premium quality, designed for everyday use.",Tools & Hardware,36.61,103,3.8,https://picsum.photos/seed/SKU-08033/400/400
SKU-01843,CrestEdition Organic Jeans,"Organic jeans from CrestEdition. Premium quality, designed for everyday use.",Clothing,104.38,217,4.4,https://picsum.photos/seed/SKU-01843/400/400
SKU-05682,QuillGoods Recycled Whiteboard,"Recycled whiteboard from QuillGoods. Premium quality, designed for everyday use.",Office Supplies,45.96,27,3.1,https://picsum.photos/seed/SKU-05682/400/400
SKU-02469,OnyxOriginals Heavy-Duty Kettle,"Heavy-Duty kettle from OnyxOriginals. Premium quality, designed for everyday use.",Home & Kitchen,181.15,71,4.2,https://picsum.photos/seed/SKU-02469/400/400
SKU-01143,StellarBrand Complete Almanac,"Complete almanac from StellarBrand. Premium quality, designed for everyday use.",Books,42.20,341,4.4,https://picsum.photos/seed/SKU-01143/400/400
SKU-08307,StellarWorks Ratcheting Hammer,"Ratcheting hammer from StellarWorks. Premium quality, designed for everyday use.",Tools & Hardware,367.62,148,4.5,https://picsum.photos/seed/SKU-08307/400/400
SKU-03800,HaloCo Glow-in-the-Dark RC Car,"Glow-in-the-Dark rc car from HaloCo. Premium quality, designed for everyday use.",Toys & Games,189.61,116,3.6,https://picsum.photos/seed/SKU-03800/400/400
SKU-04522,LoomLab Fragrance-Free Sunscreen,"Fragrance-Free sunscreen from LoomLab. Premium quality, designed for everyday use.",Beauty,94.66,250,3.0,https://picsum.photos/seed/SKU-04522/400/400
SKU-03901,OnyxStudio Classic Card Game,"Classic card game from OnyxStudio. Premium quality, designed for everyday use.",Toys & Games,123.01,132,4.1,https://picsum.photos/seed/SKU-03901/400/400
SKU-02887,QuillCo Waterproof Tent,"Waterproof tent from QuillCo. Premium quality, designed for everyday use.",Sports & Outdoors,1143.97,151,3.7,https://picsum.photos/seed/SKU-02887/400/400
SKU-09123,RidgeCo Heavy-Duty Lawn Mower,"Heavy-Duty lawn mower from RidgeCo. Premium quality, designed for everyday use.",Garden,653.02,81,4.4,https://picsum.photos/seed/SKU-09123/400/400
SKU-05612,ForgeWorks Pocket Pen Set,"Pocket pen set from ForgeWorks. Premium quality, designed for everyday use.",Office Supplies,99.34,205,4.8,https://picsum.photos/seed/SKU-05612/400/400
SKU-08713,NovaWorks Stainless Planter Pot,"Stainless planter pot from NovaWorks. Premium quality, designed for everyday use.",Garden,224.03,15,3.0,https://picsum.photos/seed/SKU-08713/400/400
SKU-00927,LuminTech Pocket Cookbook,"Pocket cookbook from LuminTech. Premium quality, designed for everyday use.",Books,21.20,348,4.9,https://picsum.photos/seed/SKU-00927/400/400
SKU-02366,VergeSupply Modular Cutting Board,"Modular cutting board from VergeSupply. Premium quality, designed for everyday use.",Home & Kitchen,335.59,193,3.8,https://picsum.photos/seed/SKU-02366/400/400
SKU-09666,StellarGoods Mahogany Audio Interface,"Mahogany audio interface from StellarGoods. Premium quality, designed for everyday use.",Music,1592.16,82,4.1,https://picsum.photos/seed/SKU-09666/400/400
SKU-00055,CrestLab Portable Tablet,"Portable tablet from CrestLab. Premium quality, designed for everyday use.",Electronics,434.11,291,4.8,https://picsum.photos/seed/SKU-00055/400/400
SKU-06879,HaloOriginals High-Performance Dash Cam,"High-Performance dash cam from HaloOriginals. Premium quality, designed for everyday use.",Automotive,171.86,176,4.5,https://picsum.photos/seed/SKU-06879/400/400
SKU-01350,EliteStudio Slim-Fit Cap,"Slim-Fit cap from EliteStudio. Premium quality, designed for everyday use.",Clothing,22.51,92,4.9,https://picsum.photos/seed/SKU-01350/400/400
SKU-02087,QuillStudio Multi-Use Mixer,"Multi-Use mixer from QuillStudio. Premium quality, designed for everyday use.",Home & Kitchen,285.59,155,4.7,https://picsum.photos/seed/SKU-02087/400/400
SKU-01100,EliteStudio Collector's Encyclopedia,"Collector's encyclopedia from EliteStudio. Premium quality, designed for everyday use.",Books,21.36,450,4.8,https://picsum.photos/seed/SKU-01100/400/400
SKU-07915,RidgeOriginals Lab-Tested Vitamin D,"Lab-Tested vitamin d from RidgeOriginals. Premium quality, designed for everyday use.",Health,76.41,47,3.4,https://picsum.photos/seed/SKU-07915/400/400
SKU-07436,LuminOriginals Sugar-Free Pain Reliever,"Sugar-Free pain reliever from LuminOriginals. Premium quality, designed for everyday use.",Health,6.20,101,3.6,https://picsum.photos/seed/SKU-07436/400/400
SKU-09442,LuminOriginals Studio Microphone,"Studio microphone from LuminOriginals. Premium quality, designed for everyday use.",Music,49.44,33,3.2,https://picsum.photos/seed/SKU-09442/400/400
SKU-09019,VergeGoods Decorative Bird Feeder,"Decorative bird feeder from VergeGoods. Premium quality, designed for everyday use.",Garden,697.91,139,4.6,https://picsum.photos/seed/SKU-09019/400/400
SKU-09329,VergeCo Ergonomic Wheelbarrow,"Ergonomic wheelbarrow from VergeCo. Premium quality, designed for everyday use.",Garden,67.42,120,3.1,https://picsum.photos/seed/SKU-09329/400/400
SKU-06209,ApexBrand Vet-Approved Cat Tree,"Vet-Approved cat tree from ApexBrand. Premium quality, designed for everyday use.",Pet Supplies,253.50,110,3.8,https://picsum.photos/seed/SKU-06209/400/400
SKU-08883,VortexLab Decorative Bird Feeder,"Decorative bird feeder from VortexLab. Premium quality, designed for everyday use.",Garden,550.54,156,4.3,https://picsum.photos/seed/SKU-08883/400/400
SKU-06603,StellarCo Grain-Free Pet Bed,"Grain-Free pet bed from StellarCo. Premium quality, designed for everyday use.",Pet Supplies,29.46,90,4.5,https://picsum.photos/seed/SKU-06603/400/400
SKU-08454,PulseCo Cordless Wrench Set,"Cordless wrench set from PulseCo. Premium quality, designed for everyday use.",Tools & Hardware,701.51,115,3.7,https://picsum.photos/seed/SKU-08454/400/400
SKU-09902,ZenithLab Studio Microphone,"Studio microphone from ZenithLab. Premium quality, designed for everyday use.",Music,1524.96,97,3.7,https://picsum.photos/seed/SKU-09902/400/400
SKU-01020,PulseSupply Illustrated Journal,"Illustrated journal from PulseSupply. Premium quality, designed for everyday use.",Books,14.87,474,4.4,https://picsum.photos/seed/SKU-01020/400/400
SKU-05850,NovaOriginals Heavy-Duty Stapler,"Heavy-Duty stapler from NovaOriginals. Premium quality, designed for everyday use.",Office Supplies,183.85,64,3.4,https://picsum.photos/seed/SKU-05850/400/400
SKU-01035,HyperWorks Illustrated Atlas,"Illustrated atlas from HyperWorks. Premium quality, designed for everyday use.",Books,42.84,167,3.3,https://picsum.photos/seed/SKU-01035/400/400
SKU-09839,QuillCo Compact MIDI Controller,"Compact midi controller from QuillCo. Premium quality, designed for everyday use.",Music,1679.74,22,4.4,https://picsum.photos/seed/SKU-09839/400/400
SKU-08351,NovaOriginals Ratcheting Saw Blade,"Ratcheting saw blade from NovaOriginals. Premium quality, designed for everyday use.",Tools & Hardware,705.37,162,3.1,https://picsum.photos/seed/SKU-08351/400/400
SKU-00012,ApexStudio Compact Router,"Compact router from ApexStudio. Premium quality, designed for everyday use.",Electronics,988.84,166,3.8,https://picsum.photos/seed/SKU-00012/400/400
SKU-02588,ZenithLab Cordless Mixer,"Cordless mixer from ZenithLab. Premium quality, designed for everyday use.",Home & Kitchen,534.82,83,3.3,https://picsum.photos/seed/SKU-02588/400/400
SKU-06966,AeroTech Premium Dash Cam,"Premium dash cam from AeroTech. Premium quality, designed for everyday use.",Automotive,38.94,69,3.6,https://picsum.photos/seed/SKU-06966/400/400
SKU-09468,VergeBrand Compact Guitar Strings,"Compact guitar strings from VergeBrand. Premium quality, designed for everyday use.",Music,2278.38,26,3.6,https://picsum.photos/seed/SKU-09468/400/400
SKU-04032,OnyxEdition Brightening Cleanser,"Brightening cleanser from OnyxEdition. Premium quality, designed for everyday use.",Beauty,74.79,121,3.0,https://picsum.photos/seed/SKU-04032/400/400
SKU-08308,HaloCo Insulated Screwdriver Kit,"Insulated screwdriver kit from HaloCo. Premium quality, designed for everyday use.",Tools & Hardware,704.55,60,3.7,https://picsum.photos/seed/SKU-08308/400/400
SKU-08866,ApexTech Decorative Pruning Shears,"Decorative pruning shears from ApexTech. Premium quality, designed for everyday use.",Garden,357.93,159,3.2,https://picsum.photos/seed/SKU-08866/400/400
SKU-07912,ZenithTech High-Potency Magnesium,"High-Potency magnesium from ZenithTech. Premium quality, designed for everyday use.",Health,46.77,109,4.4,https://picsum.photos/seed/SKU-07912/400/400
SKU-05293,VortexStudio Cold-Pressed Quinoa,"Cold-Pressed quinoa from VortexStudio. Premium quality, designed for everyday use.",Grocery,25.84,591,4.5,https://picsum.photos/seed/SKU-05293/400/400
SKU-05314,AeroStudio Artisan Honey,"Artisan honey from AeroStudio. Premium quality, designed for everyday use.",Grocery,4.89,98,3.0,https://picsum.photos/seed/SKU-05314/400/400
SKU-06550,OnyxStudio Lightweight Aquarium Filter,"Lightweight aquarium filter from OnyxStudio. Premium quality, designed for everyday use.",Pet Supplies,76.40,96,4.4,https://picsum.photos/seed/SKU-06550/400/400
SKU-09402,QuillOriginals Mahogany Guitar,"Mahogany guitar from QuillOriginals. Premium quality, designed for everyday use.",Music,338.25,81,4.0,https://picsum.photos/seed/SKU-09402/400/400
SKU-09469,LuminBrand Vintage Drum Kit,"Vintage drum kit from LuminBrand. Premium quality, designed for everyday use.",Music,1279.78,91,3.1,https://picsum.photos/seed/SKU-09469/400/400
SKU-07825,QuillSupply Liquid Fish Oil,"Liquid fish oil from QuillSupply. Premium quality, designed for everyday use.",Health,29.04,311,3.1,https://picsum.photos/seed/SKU-07825/400/400
SKU-08088,VergeLab 20V Screwdriver Kit,"20V screwdriver kit from VergeLab. Premium quality, designed for everyday use.",Tools & Hardware,736.25,129,3.4,https://picsum.photos/seed/SKU-08088/400/400
SKU-02736,ForgeStudio Carbon Backpack,"Carbon backpack from ForgeStudio. Premium quality, designed for everyday use.",Sports & Outdoors,641.55,96,4.1,https://picsum.photos/seed/SKU-02736/400/400
SKU-04473,ZenithSupply Vegan Lotion,"Vegan lotion from ZenithSupply. Premium quality, designed for everyday use.",Beauty,70.80,238,4.7,https://picsum.photos/seed/SKU-04473/400/400
SKU-08136,VortexCo Insulated Tape Measure,"Insulated tape measure from VortexCo. Premium quality, designed for everyday use.",Tools & Hardware,729.53,33,3.4,https://picsum.photos/seed/SKU-08136/400/400
SKU-09397,VergeSupply Vintage Drum Kit,"Vintage drum kit from VergeSupply. Premium quality, designed for everyday use.",Music,2476.80,62,3.5,https://picsum.photos/seed/SKU-09397/400/400
SKU-00076,LuminBrand Noise-Cancelling Hub,"Noise-Cancelling hub from LuminBrand. Premium quality, designed for everyday use.",Electronics,548.33,131,4.7,https://picsum.photos/seed/SKU-00076/400/400
SKU-04748,VergeOriginals Whole-Grain Chocolate Bar,"Whole-Grain chocolate bar from VergeOriginals. Premium quality, designed for everyday use.",Grocery,44.54,149,3.9,https://picsum.photos/seed/SKU-04748/400/400
SKU-08700,ForgeTech Terracotta Planter Pot,"Terracotta planter pot from ForgeTech. Premium quality, designed for everyday use.",Garden,585.90,179,4.1,https://picsum.photos/seed/SKU-08700/400/400
SKU-04788,VortexTech Cold-Pressed Chocolate Bar,"Cold-Pressed chocolate bar from VortexTech. Premium quality, designed for everyday use.",Grocery,17.54,53,3.9,https://picsum.photos/seed/SKU-04788/400/400
SKU-00863,VortexLab Beginner's Guide,"Beginner's guide from VortexLab. Premium quality, designed for everyday use.",Books,29.41,22,4.6,https://picsum.photos/seed/SKU-00863/400/400
SKU-01179,ZenithSupply Illustrated Atlas,"Illustrated atlas from ZenithSupply. Premium quality, designed for everyday use.",Books,47.31,13,3.5,https://picsum.photos/seed/SKU-01179/400/400
SKU-01356,NovaSupply Vintage Cap,"Vintage cap from NovaSupply. Premium quality, designed for everyday use.",Clothing,112.58,62,4.5,https://picsum.photos/seed/SKU-01356/400/400
SKU-07201,LuminOriginals Anti-Corrosion Engine Oil,"Anti-Corrosion engine oil from LuminOriginals. Premium quality, designed for everyday use.",Automotive,257.17,176,3.5,https://picsum.photos/seed/SKU-07201/400/400
SKU-05529,LuminTech Ergonomic Folder Pack,"Ergonomic folder pack from LuminTech. Premium quality, designed for everyday use.",Office Supplies,141.64,262,4.0,https://picsum.photos/seed/SKU-05529/400/400
SKU-08539,ZenithEdition Industrial Tape Measure,"Industrial tape measure from ZenithEdition. Premium quality, designed for everyday use.",Tools & Hardware,599.59,66,3.3,https://picsum.photos/seed/SKU-08539/400/400
SKU-09044,RidgeStudio Stainless Pruning Shears,"Stainless pruning shears from RidgeStudio. Premium quality, designed for everyday use.",Garden,261.06,126,3.7,https://picsum.photos/seed/SKU-09044/400/400
SKU-00042,ApexOriginals Rechargeable Monitor,"Rechargeable monitor from ApexOriginals. Premium quality, designed for everyday use.",Electronics,112.15,294,4.0,https://picsum.photos/seed/SKU-00042/400/400
SKU-04080,VergeBrand Vegan Lotion,"Vegan lotion from VergeBrand. Premium quality, designed for everyday use.",Beauty,62.13,79,4.3,https://picsum.photos/seed/SKU-04080/400/400
SKU-06380,ApexGoods Plush Dog Food,"Plush dog food from ApexGoods. Premium quality, designed for everyday use.",Pet Supplies,254.43,199,4.3,https://picsum.photos/seed/SKU-06380/400/400
SKU-09644,AeroEdition Beginner-Friendly Pedal Board,"Beginner-Friendly pedal board from AeroEdition. Premium quality, designed for everyday use.",Music,1242.65,87,3.6,https://picsum.photos/seed/SKU-09644/400/400
SKU-06986,LoomCo Anti-Corrosion Tire Inflator,"Anti-Corrosion tire inflator from LoomCo. Premium quality, designed for everyday use.",Automotive,158.32,11,4.3,https://picsum.photos/seed/SKU-06986/400/400
SKU-05991,VergeSupply Smooth-Glide Desk Lamp,"Smooth-Glide desk lamp from VergeSupply. Premium quality, designed for everyday use.",Office Supplies,145.50,112,4.9,https://picsum.photos/seed/SKU-05991/400/400
SKU-02922,VortexOriginals Adjustable Backpack,"Adjustable backpack from VortexOriginals. Premium quality, designed for everyday use.",Sports & Outdoors,282.33,7,4.2,https://picsum.photos/seed/SKU-02922/400/400
SKU-09008,RidgeTech Heavy-Duty Seed Pack,"Heavy-Duty seed pack from RidgeTech. Premium quality, designed for everyday use.",Garden,179.33,183,4.4,https://picsum.photos/seed/SKU-09008/400/400
SKU-09724,ForgeWorks Dual-Driver MIDI Controller,"Dual-Driver midi controller from ForgeWorks. Premium quality, designed for everyday use.",Music,2276.94,72,3.7,https://picsum.photos/seed/SKU-09724/400/400
SKU-01627,ForgeGoods Premium Jeans,"Premium jeans from ForgeGoods. Premium quality, designed for everyday use.",Clothing,175.10,214,3.5,https://picsum.photos/seed/SKU-01627/400/400
SKU-01113,VergeLab Practical Journal,"Practical journal from VergeLab. Premium quality, designed for everyday use.",Books,17.35,114,3.4,https://picsum.photos/seed/SKU-01113/400/400
SKU-07908,AeroWorks High-Potency Fish Oil,"High-Potency fish oil from AeroWorks. Premium quality, designed for everyday use.",Health,49.42,59,4.1,https://picsum.photos/seed/SKU-07908/400/400
SKU-07332,CrestOriginals High-Performance Cleaning Kit,"High-Performance cleaning kit from CrestOriginals. Premium quality, designed for everyday use.",Automotive,355.47,188,4.3,https://picsum.photos/seed/SKU-07332/400/400
SKU-03478,ZenithGoods Glow-in-the-Dark Board Game,"Glow-in-the-Dark board game from ZenithGoods. Premium quality, designed for everyday use.",Toys & Games,151.51,211,3.6,https://picsum.photos/seed/SKU-03478/400/400
SKU-02938,PulseOriginals Carbon Sleeping Bag,"Carbon sleeping bag from PulseOriginals. Premium quality, designed for everyday use.",Sports & Outdoors,1365.69,61,5.0,https://picsum.photos/seed/SKU-02938/400/400
SKU-00602,LoomWorks 4K SSD,"4K ssd from LoomWorks. Premium quality, designed for everyday use.",Electronics,834.80,93,4.5,https://picsum.photos/seed/SKU-00602/400/400
SKU-02182,EliteWorks Non-Stick Knife Set,"Non-Stick knife set from EliteWorks. Premium quality, designed for everyday use.",Home & Kitchen,231.55,47,4.1,https://picsum.photos/seed/SKU-02182/400/400
SKU-09342,CrestSupply Custom-Tuned MIDI Controller,"Custom-Tuned midi controller from CrestSupply. Premium quality, designed for everyday use.",Music,1941.37,86,3.2,https://picsum.photos/seed/SKU-09342/400/400
SKU-00735,ForgeWorks Beginner's Anthology,"Beginner's anthology from ForgeWorks. Premium quality, designed for everyday use.",Books,21.70,10,4.0,https://picsum.photos/seed/SKU-00735/400/400
SKU-06830,LuminSupply Synthetic Tool Kit,"Synthetic tool kit from LuminSupply. Premium quality, designed for everyday use.",Automotive,396.49,146,4.2,https://picsum.photos/seed/SKU-06830/400/400
SKU-01857,NovaSupply Casual Socks,"Casual socks from NovaSupply. Premium quality, designed for everyday use.",Clothing,109.93,361,4.3,https://picsum.photos/seed/SKU-01857/400/400
SKU-09069,PulseLab Composite Seed Pack,"Composite seed pack from PulseLab. Premium quality, designed for everyday use.",Garden,324.69,14,3.7,https://picsum.photos/seed/SKU-09069/400/400
SKU-04006,PulseEdition Hydrating Lotion,"Hydrating lotion from PulseEdition. Premium quality, designed for everyday use.",Beauty,138.04,79,3.8,https://picsum.photos/seed/SKU-04006/400/400
SKU-00948,VergeOriginals Illustrated Cookbook,"Illustrated cookbook from VergeOriginals. Premium quality, designed for everyday use.",Books,48.95,122,3.1,https://picsum.photos/seed/SKU-00948/400/400
SKU-09753,QuillEdition Travel-Size Guitar Strings,"Travel-Size guitar strings from QuillEdition. Premium quality, designed for everyday use.",Music,831.35,96,3.9,https://picsum.photos/seed/SKU-09753/400/400
SKU-08618,VergeTech Insulated Wrench Set,"Insulated wrench set from VergeTech. Premium quality, designed for everyday use.",Tools & Hardware,260.92,198,5.0,https://picsum.photos/seed/SKU-08618/400/400
SKU-08914,VortexWorks Decorative Wheelbarrow,"Decorative wheelbarrow from VortexWorks. Premium quality, designed for everyday use.",Garden,656.00,38,3.5,https://picsum.photos/seed/SKU-08914/400/400
SKU-01528,CrestLab Vintage Jeans,"Vintage jeans from CrestLab. Premium quality, designed for everyday use.",Clothing,12.99,233,3.3,https://picsum.photos/seed/SKU-01528/400/400
SKU-01704,ForgeBrand Lightweight Jacket,"Lightweight jacket from ForgeBrand. Premium quality, designed for everyday use.",Clothing,115.00,166,3.5,https://picsum.photos/seed/SKU-01704/400/400
SKU-01913,CrestStudio Casual Jeans,"Casual jeans from CrestStudio. Premium quality, designed for everyday use.",Clothing,14.34,186,3.4,https://picsum.photos/seed/SKU-01913/400/400
SKU-09180,NovaTech Heavy-Duty Garden Hose,"Heavy-Duty garden hose from NovaTech. Premium quality, designed for everyday use.",Garden,453.96,159,4.9,https://picsum.photos/seed/SKU-09180/400/400
SKU-05712,ForgeSupply Recycled Desk Lamp,"Recycled desk lamp from ForgeSupply. Premium quality, designed for everyday use.",Office Supplies,84.99,73,3.1,https://picsum.photos/seed/SKU-05712/400/400
SKU-03837,OnyxEdition Deluxe Board Game,"Deluxe board game from OnyxEdition. Premium quality, designed for everyday use.",Toys & Games,132.08,11,3.3,https://picsum.photos/seed/SKU-03837/400/400
